x,y
0.35,0.649128
0.351,0.651011
0.352,0.652894
0.353,0.654778
0.354,0.656662
0.355,0.658546
0.356,0.66043
0.357,0.662315
0.358,0.6642
0.359,0.666085
0.36,0.66797
0.361,0.669856
0.362,0.671742
0.363,0.673629
0.364,0.675515
0.365,0.677402
0.366,0.679289
0.367,0.681177
0.368,0.683065
0.369,0.684953
0.37,0.686842
0.371,0.68873
0.372,0.69062
0.373,0.692509
0.374,0.694399
0.375,0.696289
0.376,0.698179
0.377,0.70007
0.378,0.701961
0.379,0.703852
0.38,0.705744
0.381,0.707636
0.382,0.709528
0.383,0.71142
0.384,0.713313
0.385,0.715207
0.386,0.7171
0.387,0.718994
0.388,0.720888
0.389,0.722783
0.39,0.724678
0.391,0.726573
0.392,0.728468
0.393,0.730364
0.394,0.73226
0.395,0.734157
0.396,0.736054
0.397,0.737951
0.398,0.739848
0.399,0.741746
0.4,0.743645
0.401,0.745543
0.402,0.747442
0.403,0.749341
0.404,0.751241
0.405,0.753141
0.406,0.755041
0.407,0.756942
0.408,0.758843
0.409,0.760744
0.41,0.762646
0.411,0.764548
0.412,0.766451
0.413,0.768354
0.414,0.770257
0.415,0.77216
0.416,0.774064
0.417,0.775968
0.418,0.777873
0.419,0.779778
0.42,0.781683
0.421,0.783589
0.422,0.785495
0.423,0.787402
0.424,0.789309
0.425,0.791216
0.426,0.793124
0.427,0.795032
0.428,0.79694
0.429,0.798849
0.43,0.800758
0.431,0.802667
0.432,0.804577
0.433,0.806488
0.434,0.808398
0.435,0.810309
0.436,0.812221
0.437,0.814133
0.438,0.816045
0.439,0.817958
0.44,0.819871
0.441,0.821784
0.442,0.823698
0.443,0.825612
0.444,0.827527
0.445,0.829442
0.446,0.831357
0.447,0.833273
0.448,0.83519
0.449,0.837106
0.45,0.839023
0.451,0.840941
0.452,0.842859
0.453,0.844777
0.454,0.846696
0.455,0.848615
0.456,0.850535
0.457,0.852455
0.458,0.854375
0.459,0.856296
0.46,0.858217
0.461,0.860139
0.462,0.862061
0.463,0.863984
0.464,0.865907
0.465,0.86783
0.466,0.869754
0.467,0.871678
0.468,0.873603
0.469,0.875528
0.47,0.877454
0.471,0.87938
0.472,0.881306
0.473,0.883233
0.474,0.88516
0.475,0.887088
0.476,0.889017
0.477,0.890945
0.478,0.892874
0.479,0.894804
0.48,0.896734
0.481,0.898665
0.482,0.900596
0.483,0.902527
0.484,0.904459
0.485,0.906391
0.486,0.908324
0.487,0.910257
0.488,0.912191
0.489,0.914125
0.49,0.91606
0.491,0.917995
0.492,0.919931
0.493,0.921867
0.494,0.923803
0.495,0.92574
0.496,0.927678
0.497,0.929616
0.498,0.931554
0.499,0.933493
0.5,0.935433
0.501,0.937373
0.502,0.939313
0.503,0.941254
0.504,0.943195
0.505,0.945137
0.506,0.947079
0.507,0.949022
0.508,0.950966
0.509,0.952909
0.51,0.954854
0.511,0.956799
0.512,0.958744
0.513,0.96069
0.514,0.962636
0.515,0.964583
0.516,0.96653
0.517,0.968478
0.518,0.970426
0.519,0.972375
0.52,0.974325
0.521,0.976274
0.522,0.978225
0.523,0.980176
0.524,0.982127
0.525,0.984079
0.526,0.986032
0.527,0.987985
0.528,0.989938
0.529,0.991892
0.53,0.993847
0.531,0.995802
0.532,0.997757
0.533,0.999714
0.534,1.00167
0.535,1.00363
0.536,1.00559
0.537,1.00754
0.538,1.0095
0.539,1.01146
0.54,1.01342
0.541,1.01538
0.542,1.01734
0.543,1.0193
0.544,1.02127
0.545,1.02323
0.546,1.02519
0.547,1.02716
0.548,1.02912
0.549,1.03109
0.55,1.03305
0.551,1.03502
0.552,1.03698
0.553,1.03895
0.554,1.04092
0.555,1.04289
0.556,1.04486
0.557,1.04682
0.558,1.04879
0.559,1.05076
0.56,1.05274
0.561,1.05471
0.562,1.05668
0.563,1.05865
0.564,1.06063
0.565,1.0626
0.566,1.06457
0.567,1.06655
0.568,1.06853
0.569,1.0705
0.57,1.07248
0.571,1.07446
0.572,1.07643
0.573,1.07841
0.574,1.08039
0.575,1.08237
0.576,1.08435
0.577,1.08633
0.578,1.08832
0.579,1.0903
0.58,1.09228
0.581,1.09426
0.582,1.09625
0.583,1.09823
0.584,1.10022
0.585,1.1022
0.586,1.10419
0.587,1.10618
0.588,1.10817
0.589,1.11015
0.59,1.11214
0.591,1.11413
0.592,1.11612
0.593,1.11811
0.594,1.1201
0.595,1.1221
0.596,1.12409
0.597,1.12608
0.598,1.12808
0.599,1.13007
0.6,1.13207
0.601,1.13406
0.602,1.13606
0.603,1.13806
0.604,1.14005
0.605,1.14205
0.606,1.14405
0.607,1.14605
0.608,1.14805
0.609,1.15005
0.61,1.15205
0.611,1.15406
0.612,1.15606
0.613,1.15806
0.614,1.16007
0.615,1.16207
0.616,1.16408
0.617,1.16609
0.618,1.16809
0.619,1.1701
0.62,1.17211
0.621,1.17412
0.622,1.17613
0.623,1.17814
0.624,1.18015
0.625,1.18216
0.626,1.18417
0.627,1.18619
0.628,1.1882
0.629,1.19021
0.63,1.19223
0.631,1.19424
0.632,1.19626
0.633,1.19828
0.634,1.2003
0.635,1.20232
0.636,1.20433
0.637,1.20635
0.638,1.20838
0.639,1.2104
0.64,1.21242
0.641,1.21444
0.642,1.21646
0.643,1.21849
0.644,1.22051
0.645,1.22254
0.646,1.22457
0.647,1.22659
0.648,1.22862
0.649,1.23065
0.65,1.23268
0.651,1.23471
0.652,1.23674
0.653,1.23877
0.654,1.2408
0.655,1.24284
0.656,1.24487
0.657,1.2469
0.658,1.24894
0.659,1.25097
0.66,1.25301
0.661,1.25505
0.662,1.25709
0.663,1.25912
0.664,1.26116
0.665,1.2632
0.666,1.26525
0.667,1.26729
0.668,1.26933
0.669,1.27137
0.67,1.27342
0.671,1.27546
0.672,1.27751
0.673,1.27955
0.674,1.2816
0.675,1.28365
0.676,1.2857
0.677,1.28775
0.678,1.2898
0.679,1.29185
0.68,1.2939
0.681,1.29595
0.682,1.298
0.683,1.30006
0.684,1.30211
0.685,1.30417
0.686,1.30622
0.687,1.30828
0.688,1.31034
0.689,1.3124
0.69,1.31446
0.691,1.31652
0.692,1.31858
0.693,1.32064
0.694,1.3227
0.695,1.32477
0.696,1.32683
0.697,1.32889
0.698,1.33096
0.699,1.33303
0.7,1.33509
0.701,1.33716
0.702,1.33923
0.703,1.3413
0.704,1.34337
0.705,1.34544
0.706,1.34752
0.707,1.34959
0.708,1.35166
0.709,1.35374
0.71,1.35581
0.711,1.35789
0.712,1.35997
0.713,1.36204
0.714,1.36412
0.715,1.3662
0.716,1.36828
0.717,1.37037
0.718,1.37245
0.719,1.37453
0.72,1.37661
0.721,1.3787
0.722,1.38078
0.723,1.38287
0.724,1.38496
0.725,1.38705
0.726,1.38914
0.727,1.39123
0.728,1.39332
0.729,1.39541
0.73,1.3975
0.731,1.39959
0.732,1.40169
0.733,1.40378
0.734,1.40588
0.735,1.40798
0.736,1.41007
0.737,1.41217
0.738,1.41427
0.739,1.41637
0.74,1.41847
0.741,1.42057
0.742,1.42268
0.743,1.42478
0.744,1.42689
0.745,1.42899
0.746,1.4311
0.747,1.4332
0.748,1.43531
0.749,1.43742
0.75,1.43953
0.751,1.44164
0.752,1.44376
0.753,1.44587
0.754,1.44798
0.755,1.4501
0.756,1.45221
0.757,1.45433
0.758,1.45645
0.759,1.45856
0.76,1.46068
0.761,1.4628
0.762,1.46492
0.763,1.46705
0.764,1.46917
0.765,1.47129
0.766,1.47342
0.767,1.47554
0.768,1.47767
0.769,1.4798
0.77,1.48192
0.771,1.48405
0.772,1.48618
0.773,1.48832
0.774,1.49045
0.775,1.49258
0.776,1.49471
0.777,1.49685
0.778,1.49899
0.779,1.50112
0.78,1.50326
0.781,1.5054
0.782,1.50754
0.783,1.50968
0.784,1.51182
0.785,1.51396
0.786,1.51611
0.787,1.51825
0.788,1.5204
0.789,1.52254
0.79,1.52469
0.791,1.52684
0.792,1.52899
0.793,1.53114
0.794,1.53329
0.795,1.53544
0.796,1.5376
0.797,1.53975
0.798,1.54191
0.799,1.54406
0.8,1.54622
0.801,1.54838
0.802,1.55054
0.803,1.5527
0.804,1.55486
0.805,1.55702
0.806,1.55918
0.807,1.56135
0.808,1.56351
0.809,1.56568
0.81,1.56785
0.811,1.57002
0.812,1.57219
0.813,1.57436
0.814,1.57653
0.815,1.5787
0.816,1.58087
0.817,1.58305
0.818,1.58522
0.819,1.5874
0.82,1.58958
0.821,1.59176
0.822,1.59394
0.823,1.59612
0.824,1.5983
0.825,1.60048
0.826,1.60266
0.827,1.60485
0.828,1.60704
0.829,1.60922
0.83,1.61141
0.831,1.6136
0.832,1.61579
0.833,1.61798
0.834,1.62017
0.835,1.62237
0.836,1.62456
0.837,1.62676
0.838,1.62895
0.839,1.63115
0.84,1.63335
0.841,1.63555
0.842,1.63775
0.843,1.63995
0.844,1.64215
0.845,1.64436
0.846,1.64656
0.847,1.64877
0.848,1.65098
0.849,1.65319
0.85,1.65539
0.851,1.65761
0.852,1.65982
0.853,1.66203
0.854,1.66424
0.855,1.66646
0.856,1.66867
0.857,1.67089
0.858,1.67311
0.859,1.67533
0.86,1.67755
0.861,1.67977
0.862,1.68199
0.863,1.68422
0.864,1.68644
0.865,1.68867
0.866,1.6909
0.867,1.69312
0.868,1.69535
0.869,1.69758
0.87,1.69982
0.871,1.70205
0.872,1.70428
0.873,1.70652
0.874,1.70875
0.875,1.71099
0.876,1.71323
0.877,1.71547
0.878,1.71771
0.879,1.71995
0.88,1.7222
0.881,1.72444
0.882,1.72669
0.883,1.72893
0.884,1.73118
0.885,1.73343
0.886,1.73568
0.887,1.73793
0.888,1.74018
0.889,1.74244
0.89,1.74469
0.891,1.74695
0.892,1.7492
0.893,1.75146
0.894,1.75372
0.895,1.75598
0.896,1.75824
0.897,1.76051
0.898,1.76277
0.899,1.76504
0.9,1.7673
0.901,1.76957
0.902,1.77184
0.903,1.77411
0.904,1.77638
0.905,1.77865
0.906,1.78093
0.907,1.7832
0.908,1.78548
0.909,1.78776
0.91,1.79004
0.911,1.79232
0.912,1.7946
0.913,1.79688
0.914,1.79916
0.915,1.80145
0.916,1.80373
0.917,1.80602
0.918,1.80831
0.919,1.8106
0.92,1.81289
0.921,1.81518
0.922,1.81748
0.923,1.81977
0.924,1.82207
0.925,1.82436
0.926,1.82666
0.927,1.82896
0.928,1.83126
0.929,1.83356
0.93,1.83587
0.931,1.83817
0.932,1.84048
0.933,1.84279
0.934,1.84509
0.935,1.8474
0.936,1.84971
0.937,1.85203
0.938,1.85434
0.939,1.85666
0.94,1.85897
0.941,1.86129
0.942,1.86361
0.943,1.86593
0.944,1.86825
0.945,1.87057
0.946,1.87289
0.947,1.87522
0.948,1.87755
0.949,1.87987
0.95,1.8822
0.951,1.88453
0.952,1.88687
0.953,1.8892
0.954,1.89153
0.955,1.89387
0.956,1.8962
0.957,1.89854
0.958,1.90088
0.959,1.90322
0.96,1.90557
0.961,1.90791
0.962,1.91025
0.963,1.9126
0.964,1.91495
0.965,1.9173
0.966,1.91965
0.967,1.922
0.968,1.92435
0.969,1.9267
0.97,1.92906
0.971,1.93142
0.972,1.93378
0.973,1.93613
0.974,1.9385
0.975,1.94086
0.976,1.94322
0.977,1.94559
0.978,1.94795
0.979,1.95032
0.98,1.95269
0.981,1.95506
0.982,1.95743
0.983,1.9598
0.984,1.96218
0.985,1.96456
0.986,1.96693
0.987,1.96931
0.988,1.97169
0.989,1.97407
0.99,1.97646
0.991,1.97884
0.992,1.98123
0.993,1.98361
0.994,1.986
0.995,1.98839
0.996,1.99078
0.997,1.99318
0.998,1.99557
0.999,1.99796
1,2.00036
