x,y
0.355,2.52635
0.356,2.53101
0.357,2.53567
0.358,2.54031
0.359,2.54494
0.36,2.54957
0.361,2.55419
0.362,2.55879
0.363,2.56339
0.364,2.56798
0.365,2.57256
0.366,2.57713
0.367,2.58169
0.368,2.58624
0.369,2.59079
0.37,2.59532
0.371,2.59985
0.372,2.60437
0.373,2.60887
0.374,2.61337
0.375,2.61787
0.376,2.62235
0.377,2.62682
0.378,2.63129
0.379,2.63574
0.38,2.64019
0.381,2.64463
0.382,2.64906
0.383,2.65348
0.384,2.65789
0.385,2.6623
0.386,2.66669
0.387,2.67108
0.388,2.67546
0.389,2.67983
0.39,2.68419
0.391,2.68854
0.392,2.69289
0.393,2.69722
0.394,2.70155
0.395,2.70587
0.396,2.71018
0.397,2.71448
0.398,2.71878
0.399,2.72306
0.4,2.72734
0.401,2.73161
0.402,2.73587
0.403,2.74013
0.404,2.74437
0.405,2.74861
0.406,2.75284
0.407,2.75706
0.408,2.76127
0.409,2.76547
0.41,2.76967
0.411,2.77386
0.412,2.77804
0.413,2.78221
0.414,2.78637
0.415,2.79053
0.416,2.79468
0.417,2.79882
0.418,2.80295
0.419,2.80707
0.42,2.81119
0.421,2.8153
0.422,2.8194
0.423,2.82349
0.424,2.82757
0.425,2.83165
0.426,2.83572
0.427,2.83978
0.428,2.84383
0.429,2.84788
0.43,2.85192
0.431,2.85595
0.432,2.85997
0.433,2.86398
0.434,2.86799
0.435,2.87199
0.436,2.87598
0.437,2.87997
0.438,2.88394
0.439,2.88791
0.44,2.89187
0.441,2.89582
0.442,2.89977
0.443,2.90371
0.444,2.90764
0.445,2.91156
0.446,2.91548
0.447,2.91939
0.448,2.92329
0.449,2.92718
0.45,2.93107
0.451,2.93495
0.452,2.93882
0.453,2.94268
0.454,2.94654
0.455,2.95039
0.456,2.95423
0.457,2.95806
0.458,2.96189
0.459,2.96571
0.46,2.96952
0.461,2.97332
0.462,2.97712
0.463,2.98091
0.464,2.9847
0.465,2.98847
0.466,2.99224
0.467,2.996
0.468,2.99976
0.469,3.0035
0.47,3.00724
0.471,3.01097
0.472,3.0147
0.473,3.01842
0.474,3.02213
0.475,3.02583
0.476,3.02953
0.477,3.03322
0.478,3.0369
0.479,3.04058
0.48,3.04425
0.481,3.04791
0.482,3.05156
0.483,3.05521
0.484,3.05885
0.485,3.06249
0.486,3.06611
0.487,3.06973
0.488,3.07334
0.489,3.07695
0.49,3.08055
0.491,3.08414
0.492,3.08772
0.493,3.0913
0.494,3.09487
0.495,3.09844
0.496,3.102
0.497,3.10555
0.498,3.10909
0.499,3.11263
0.5,3.11616
0.501,3.11968
0.502,3.1232
0.503,3.1267
0.504,3.13021
0.505,3.1337
0.506,3.13719
0.507,3.14067
0.508,3.14415
0.509,3.14762
0.51,3.15108
0.511,3.15454
0.512,3.15798
0.513,3.16143
0.514,3.16486
0.515,3.16829
0.516,3.17171
0.517,3.17513
0.518,3.17854
0.519,3.18194
0.52,3.18533
0.521,3.18872
0.522,3.1921
0.523,3.19548
0.524,3.19885
0.525,3.20221
0.526,3.20557
0.527,3.20892
0.528,3.21226
0.529,3.21559
0.53,3.21892
0.531,3.22225
0.532,3.22556
0.533,3.22887
0.534,3.23218
0.535,3.23547
0.536,3.23876
0.537,3.24205
0.538,3.24532
0.539,3.2486
0.54,3.25186
0.541,3.25512
0.542,3.25837
0.543,3.26161
0.544,3.26485
0.545,3.26809
0.546,3.27131
0.547,3.27453
0.548,3.27774
0.549,3.28095
0.55,3.28415
0.551,3.28734
0.552,3.29053
0.553,3.29371
0.554,3.29689
0.555,3.30006
0.556,3.30322
0.557,3.30637
0.558,3.30952
0.559,3.31267
0.56,3.3158
0.561,3.31893
0.562,3.32206
0.563,3.32518
0.564,3.32829
0.565,3.33139
0.566,3.33449
0.567,3.33758
0.568,3.34067
0.569,3.34375
0.57,3.34682
0.571,3.34989
0.572,3.35295
0.573,3.35601
0.574,3.35906
0.575,3.3621
0.576,3.36514
0.577,3.36817
0.578,3.37119
0.579,3.37421
0.58,3.37722
0.581,3.38023
0.582,3.38323
0.583,3.38622
0.584,3.38921
0.585,3.39219
0.586,3.39516
0.587,3.39813
0.588,3.4011
0.589,3.40405
0.59,3.407
0.591,3.40995
0.592,3.41289
0.593,3.41582
0.594,3.41874
0.595,3.42166
0.596,3.42458
0.597,3.42748
0.598,3.43039
0.599,3.43328
0.6,3.43617
0.601,3.43905
0.602,3.44193
0.603,3.4448
0.604,3.44767
0.605,3.45053
0.606,3.45338
0.607,3.45623
0.608,3.45907
0.609,3.4619
0.61,3.46473
0.611,3.46755
0.612,3.47037
0.613,3.47318
0.614,3.47599
0.615,3.47879
0.616,3.48158
0.617,3.48437
0.618,3.48715
0.619,3.48992
0.62,3.49269
0.621,3.49545
0.622,3.49821
0.623,3.50096
0.624,3.50371
0.625,3.50645
0.626,3.50918
0.627,3.51191
0.628,3.51463
0.629,3.51734
0.63,3.52005
0.631,3.52276
0.632,3.52545
0.633,3.52815
0.634,3.53083
0.635,3.53351
0.636,3.53619
0.637,3.53885
0.638,3.54152
0.639,3.54417
0.64,3.54682
0.641,3.54947
0.642,3.5521
0.643,3.55474
0.644,3.55736
0.645,3.55998
0.646,3.5626
0.647,3.56521
0.648,3.56781
0.649,3.57041
0.65,3.573
0.651,3.57559
0.652,3.57817
0.653,3.58074
0.654,3.58331
0.655,3.58587
0.656,3.58843
0.657,3.59098
0.658,3.59352
0.659,3.59606
0.66,3.59859
0.661,3.60112
0.662,3.60364
0.663,3.60616
0.664,3.60867
0.665,3.61117
0.666,3.61367
0.667,3.61616
0.668,3.61865
0.669,3.62113
0.67,3.6236
0.671,3.62607
0.672,3.62854
0.673,3.63099
0.674,3.63345
0.675,3.63589
0.676,3.63833
0.677,3.64077
0.678,3.64319
0.679,3.64562
0.68,3.64803
0.681,3.65045
0.682,3.65285
0.683,3.65525
0.684,3.65764
0.685,3.66003
0.686,3.66242
0.687,3.66479
0.688,3.66716
0.689,3.66953
0.69,3.67189
0.691,3.67424
0.692,3.67659
0.693,3.67893
0.694,3.68127
0.695,3.6836
0.696,3.68592
0.697,3.68824
0.698,3.69056
0.699,3.69286
0.7,3.69517
0.701,3.69746
0.702,3.69975
0.703,3.70204
0.704,3.70432
0.705,3.70659
0.706,3.70886
0.707,3.71112
0.708,3.71338
0.709,3.71563
0.71,3.71787
0.711,3.72011
0.712,3.72234
0.713,3.72457
0.714,3.72679
0.715,3.72901
0.716,3.73122
0.717,3.73342
0.718,3.73562
0.719,3.73782
0.72,3.74
0.721,3.74219
0.722,3.74436
0.723,3.74653
0.724,3.7487
0.725,3.75086
0.726,3.75301
0.727,3.75516
0.728,3.7573
0.729,3.75944
0.73,3.76157
0.731,3.7637
0.732,3.76581
0.733,3.76793
0.734,3.77004
0.735,3.77214
0.736,3.77424
0.737,3.77633
0.738,3.77841
0.739,3.78049
0.74,3.78257
0.741,3.78464
0.742,3.7867
0.743,3.78876
0.744,3.79081
0.745,3.79285
0.746,3.79489
0.747,3.79693
0.748,3.79896
0.749,3.80098
0.75,3.803
0.751,3.80501
0.752,3.80702
0.753,3.80902
0.754,3.81101
0.755,3.813
0.756,3.81499
0.757,3.81696
0.758,3.81894
0.759,3.8209
0.76,3.82286
0.761,3.82482
0.762,3.82677
0.763,3.82871
0.764,3.83065
0.765,3.83259
0.766,3.83451
0.767,3.83644
0.768,3.83835
0.769,3.84026
0.77,3.84217
0.771,3.84407
0.772,3.84596
0.773,3.84785
0.774,3.84973
0.775,3.85161
0.776,3.85348
0.777,3.85534
0.778,3.8572
0.779,3.85906
0.78,3.86091
0.781,3.86275
0.782,3.86459
0.783,3.86642
0.784,3.86824
0.785,3.87006
0.786,3.87188
0.787,3.87369
0.788,3.87549
0.789,3.87729
0.79,3.87908
0.791,3.88087
0.792,3.88265
0.793,3.88443
0.794,3.8862
0.795,3.88796
0.796,3.88972
0.797,3.89147
0.798,3.89322
0.799,3.89496
0.8,3.8967
0.801,3.89843
0.802,3.90016
0.803,3.90187
0.804,3.90359
0.805,3.9053
0.806,3.907
0.807,3.9087
0.808,3.91039
0.809,3.91207
0.81,3.91375
0.811,3.91543
0.812,3.9171
0.813,3.91876
0.814,3.92042
0.815,3.92207
0.816,3.92372
0.817,3.92536
0.818,3.927
0.819,3.92863
0.82,3.93025
0.821,3.93187
0.822,3.93348
0.823,3.93509
0.824,3.93669
0.825,3.93829
0.826,3.93988
0.827,3.94146
0.828,3.94304
0.829,3.94462
0.83,3.94619
0.831,3.94775
0.832,3.94931
0.833,3.95086
0.834,3.9524
0.835,3.95394
0.836,3.95548
0.837,3.95701
0.838,3.95853
0.839,3.96005
0.84,3.96156
0.841,3.96307
0.842,3.96457
0.843,3.96607
0.844,3.96756
0.845,3.96904
0.846,3.97052
0.847,3.972
0.848,3.97346
0.849,3.97493
0.85,3.97638
0.851,3.97783
0.852,3.97928
0.853,3.98072
0.854,3.98215
0.855,3.98358
0.856,3.98501
0.857,3.98642
0.858,3.98784
0.859,3.98924
0.86,3.99064
0.861,3.99204
0.862,3.99343
0.863,3.99481
0.864,3.99619
0.865,3.99757
0.866,3.99893
0.867,4.0003
0.868,4.00165
0.869,4.003
0.87,4.00435
0.871,4.00569
0.872,4.00702
0.873,4.00835
0.874,4.00967
0.875,4.01099
0.876,4.0123
0.877,4.01361
0.878,4.01491
0.879,4.01621
0.88,4.0175
0.881,4.01878
0.882,4.02006
0.883,4.02133
0.884,4.0226
0.885,4.02386
0.886,4.02512
0.887,4.02637
0.888,4.02761
0.889,4.02885
0.89,4.03009
0.891,4.03132
0.892,4.03254
0.893,4.03376
0.894,4.03497
0.895,4.03618
0.896,4.03738
0.897,4.03857
0.898,4.03976
0.899,4.04095
0.9,4.04212
0.901,4.0433
0.902,4.04447
0.903,4.04563
0.904,4.04678
0.905,4.04793
0.906,4.04908
0.907,4.05022
0.908,4.05135
0.909,4.05248
0.91,4.05361
0.911,4.05472
0.912,4.05584
0.913,4.05694
0.914,4.05804
0.915,4.05914
0.916,4.06023
0.917,4.06131
0.918,4.06239
0.919,4.06347
0.92,4.06453
0.921,4.0656
0.922,4.06665
0.923,4.0677
0.924,4.06875
0.925,4.06979
0.926,4.07082
0.927,4.07185
0.928,4.07288
0.929,4.07389
0.93,4.07491
0.931,4.07591
0.932,4.07692
0.933,4.07791
0.934,4.0789
0.935,4.07989
0.936,4.08087
0.937,4.08184
0.938,4.08281
0.939,4.08377
0.94,4.08473
0.941,4.08568
0.942,4.08663
0.943,4.08757
0.944,4.0885
0.945,4.08943
0.946,4.09036
